"ID","LATITUDE","LONGITUDE","ELEMENT","FIRSTYEAR","LASTYEAR","STATE","STATE_NAME","RECORD_LENGTH"
"CA001095018",52.5333,-122.2833,"TMAX",1972,2024,"BC","BRITISH COLUMBIA",53
"CA001096439",53.8833,-122.6833,"TMAX",1957,2025,"BC","BRITISH COLUMBIA",69
"CA001096453",53.8833,-122.6667,"TMAX",2009,2025,"BC","BRITISH COLUMBIA",17
"CA001096629",53.0333,-122.5167,"TMAX",2010,2025,"BC","BRITISH COLUMBIA",16
"CA001096631",53.0333,-122.5,"TMAX",2009,2025,"BC","BRITISH COLUMBIA",17
"CA001097646",52.1833,-121.6833,"TMAX",1983,2024,"BC","BRITISH COLUMBIA",42
"CA001098941",52.1833,-122.05,"TMAX",2012,2024,"BC","BRITISH COLUMBIA",13
"CA001100031",49.0333,-122.3667,"TMAX",2012,2024,"BC","BRITISH COLUMBIA",13
"CA001100119",49.25,-121.7667,"TMAX",1988,2025,"BC","BRITISH COLUMBIA",38
"CA001100120",49.25,-121.7667,"TMAX",1889,2023,"BC","BRITISH COLUMBIA",135
"CA001100875",50.1333,-122.95,"TMAX",2005,2025,"BC","BRITISH COLUMBIA",21
"CA001101300",50.15,-123.1167,"TMAX",2005,2024,"BC","BRITISH COLUMBIA",20
"CA001101708",49.1167,-122.7,"TMAX",1992,2024,"BC","BRITISH COLUMBIA",33
"CA001102415",49.1333,-123,"TMAX",2011,2024,"BC","BRITISH COLUMBIA",14
"CA001102425",49.0167,-123.1,"TMAX",1987,2024,"BC","BRITISH COLUMBIA",38
"CA001102912",49.15,-122.55,"TMAX",2005,2024,"BC","BRITISH COLUMBIA",20
"CA001103332",49.2667,-122.5667,"TMAX",1961,2024,"BC","BRITISH COLUMBIA",64
"CA001105192",49.15,-122.2667,"TMAX",1962,2024,"BC","BRITISH COLUMBIA",63
"CA001105658",49.3667,-123.0833,"TMAX",1971,2024,"BC","BRITISH COLUMBIA",54
"CA001106178",49.2,-122.6833,"TMAX",1993,2025,"BC","BRITISH COLUMBIA",33
"CA001106200",49.3333,-123.2667,"TMAX",1997,2025,"BC","BRITISH COLUMBIA",29
"CA001106CL2",49.2833,-122.8833,"TMAX",1970,2024,"BC","BRITISH COLUMBIA",55
"CA001106PF7",49.1667,-123.1,"TMAX",1977,2023,"BC","BRITISH COLUMBIA",47
"CA001107010",49.1,-123.3,"TMAX",1991,2025,"BC","BRITISH COLUMBIA",35
"CA001107785",49.1167,-122.1167,"TMAX",1958,2024,"BC","BRITISH COLUMBIA",67
"CA001108380",49.1833,-123.1833,"TMAX",2013,2024,"BC","BRITISH COLUMBIA",12
"CA001108395",49.2,-123.1833,"TMAX",1957,2025,"BC","BRITISH COLUMBIA",69
"CA001108446",49.3,-123.1167,"TMAX",1958,2025,"BC","BRITISH COLUMBIA",68
"CA001108824",49.35,-123.2,"TMAX",1992,2025,"BC","BRITISH COLUMBIA",34
"CA001108906",50.0667,-122.95,"TMAX",1972,2024,"BC","BRITISH COLUMBIA",53
"CA001108910",49.0167,-122.7833,"TMAX",1929,2025,"BC","BRITISH COLUMBIA",97
"CA00110N666",49.4333,-122.9667,"TMAX",1981,2023,"BC","BRITISH COLUMBIA",43
"CA001113542",49.3667,-121.5,"TMAX",2011,2024,"BC","BRITISH COLUMBIA",14
"CA001113543",49.3667,-121.5,"TMAX",2012,2024,"BC","BRITISH COLUMBIA",13
"CA001113581",49.2833,-121.2333,"TMAX",1975,2024,"BC","BRITISH COLUMBIA",50
"CA001114619",50.6833,-121.9333,"TMAX",1997,2025,"BC","BRITISH COLUMBIA",29
"CA001114746",50.2167,-121.5833,"TMAX",2006,2025,"BC","BRITISH COLUMBIA",20
